name,average,maximum,minimum
에스케이스퀘어,"28,967","12,920","24,422"
한국철강,"12,306","6,040","12,025"
디엘,"20,055","8,062","15,804"
카카오뱅크,"10,706","5,065","11,143"
한국관광공사 제주지사,"9,716","5,241","11,407"
종근당홀딩스,"12,446","5,117","11,780"
CJ제일제당,"7,485","3,883","8,661"
(사)한국무역협회,"9,757","4,220","9,257"
현대자동차,"11,781","5,236","11,403"
에스브이인베스트먼트,"16,859","8,177","18,435"
부국증권,"19,393","7,535","15,392"
한국존슨앤드존슨,"7,700","3,929","8,812"
제이시스메디칼,"17,884","6,858","13,032"
스톤브릿지벤처스,"9,347","4,916","10,409"
LG,"18,730","7,076","15,235"
(주)코스콤,"9,561","4,776","10,942"
메리츠증권,"17,596","6,469","14,984"
한솔제지,"7,514","4,004","8,278"
셀트리온제약,"6,202","3,378","7,816"
에스디바이오센서,"6,451","3,877","7,258"
